game.cloneof	game.romof	game.name	game.year	game.genre	game.coinslots	game.control.buttons	game.control.count	game.controller	game.control.type	monitor.freq	monitor.type	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical
act2000d1		act2000	Action 2000 (Version 3.5R, set 1)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
act2000dx		act2000	Action 2000 (Version 3.30XT, set 1)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
act2000o		act2000	Action 2000 (Version 3.3)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
act2000o2		act2000	Action 2000 (Version 3.10XT)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
act2000o3		act2000	Action 2000 (Version 1.2)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
act2000v1		act2000	Action 2000 (Version 3.5R Dual)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
act2000vx		act2000	Action 2000 (Version 3.30XT Dual)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
actfanc1	actfancr		Act-Fancer Cybernetick Hyper Weapon (World revision 1)	1989	Platform / Shooter Scrolling			2			60	R	H	4	3	256	240	
actfancj	actfancr		Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)	1989	Platform / Shooter Scrolling			2			60	R	H	4	3	256	240	
actfancr			Act-Fancer Cybernetick Hyper Weapon (World revision 3)	1989	Platform / Shooter Scrolling	2	2	2	2	joy8way	60	R	H			256	240	
actfancr1		actfancr	Act-Fancer Cybernetick Hyper Weapon (World revision 1)	1989	Platform / Shooter Scrolling	2	2	2	2	joy8way	60	R	H			256	240	
actfancrj		actfancr	Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)	1989	Platform / Shooter Scrolling	2	2	2	2	joy8way	60	R	H			256	240	
actionhw			Action Hollywood	1995	Maze / Change Surface	2	3	2	3	joy8way	60	R	H			352	240	
ad2083			A. D. 2083	1983	Shooter / Field	2	2	1	1	joy8way	60.606061	R	V			256	224	
adders			Adders and Ladders (v2.0)	1989	Not Classified	4	7	1		joy8way	50.000000	R	H			504	296	
adonis			Adonis (0200751V, NSW/ACT)	1998	Slot Machine / Video Slot	1	6	1		joy8way	60	R	H			320	224	
aerfboo2		aerofgt	Aero Fighters (bootleg, set 2)	1992	Shooter / Flying Vertical	2	2	2	2	joy8way	60	R	V			320	224	
aerfboot		aerofgt	Aero Fighters (bootleg, set 1)	1992	Shooter / Flying Vertical	2	2	2	2	joy8way	60	R	V			320	224	
aeroboto		formatz	Aeroboto	1984	Shooter / Misc. Horizontal	1	2	2	2	joy8way	60	R	H			248	224	
aerofgt			Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)	1992	Shooter / Flying Vertical	2	2	2	2	joy8way	61.31	R	V			320	224	
aerofgtb		aerofgt	Aero Fighters (Taiwan / Japan, set 1)	1992	Shooter / Flying Vertical	2	2	2	2	joy8way	60	R	V			320	224	
aerofgtc		aerofgt	Aero Fighters (Taiwan / Japan, set 2)	1992	Shooter / Flying Vertical	2	2	2	2	joy8way	60	R	V			320	224	
aerofgts		vspsx	Aero Fighters Special (Taiwan)	1996	Shooter / Flying Vertical	4	3	4	3	joy8way	60	R	V			640	480	
afighter			Action Fighter (FD1089A 317-0018)	1986	Shooter / Misc. Vertical	2	3	2	3	joy8way	60	R	V			320	224	
afire		astrof	Astro Fire	1979	Shooter / Gallery	1	1	2	1	joy2way	56.308461	R	V			256	256	
agallet			Air Gallet (Europe)	1996	Shooter / Flying Vertical	2	3	2	3	joy8way	57.550645	R	V			320	240	
agalleta	agallet		Air Gallet (older, Europe)	1996	Shooter / Flying Vertical			2				R	V	3	4	320	240	
agalletah	agallet		Air Gallet (older, Hong Kong)	1996	Shooter / Flying Vertical			2				R	V	3	4	320	240	
agalletaj	agallet		Akuu Gallet (older, Japan)	1996	Shooter / Flying Vertical			2				R	V	3	4	320	240	
agalletak	agallet		Air Gallet (older, Korea)	1996	Shooter / Flying Vertical			2				R	V	3	4	320	240	
agalletat	agallet		Air Gallet (older, Taiwan)	1996	Shooter / Flying Vertical			2				R	V	3	4	320	240	
agalletau	agallet		Air Gallet (older, USA)	1996	Shooter / Flying Vertical			2				R	V	3	4	320	240	
agalleth	agallet		Air Gallet (Hong Kong)	1996	Shooter / Flying Vertical	2	3	2		joy8way	57.550645	R	V	3	4	320	240	
agalletj	agallet		Akuu Gallet (Japan)	1996	Shooter / Flying Vertical	2	3	2		joy8way	57.550645	R	V	3	4	320	240	
agalletk	agallet		Air Gallet (Korea)	1996	Shooter / Flying Vertical	2	3	2		joy8way	57.550645	R	V	3	4	320	240	
agallett	agallet		Air Gallet (Taiwan)	1996	Shooter / Flying Vertical	2	3	2		joy8way	57.550645	R	V	3	4	320	240	
agalletu	agallet		Air Gallet (USA)	1996	Shooter / Flying Vertical	2	3	2		joy8way	57.550645	R	V	3	4	320	240	
agentx1		cloak	Agent X (prototype, rev 1)	1983	Shooter / Field	2	1	1	1	doublejoy8way	60	R	H			256	232	
agentx2		cloak	Agent X (prototype, rev 2)	1983	Shooter / Field	2	1	1	1	doublejoy8way	60	R	H			256	232	
agentx3		cloak	Agent X (prototype, rev 3)	1983	Shooter / Field	2	1	1	1	doublejoy8way	60	R	H			256	232	
agentx4		cloak	Agent X (prototype, rev 4)	1983	Shooter / Field	2	1	1	1	doublejoy8way	60	R	H			256	232	
agress			Agress - Missile Daisenryaku (Japan)	1991	Puzzle / Sliding	3	4	2	4	joy8way	58	R	H			320	240	
agressb		agress	Agress - Missile Daisenryaku (English bootleg)	2003	Puzzle / Sliding	3	4	2	4	joy8way	58	R	H			320	240	
ainferno			Air Inferno (US)	1990	Shooter / Flying 1st Person	2	6	2	6	stick	60	R	H			512	400	
airass			Air Assault (World)	1993	Shooter / Flying Vertical			2				R	V	3	4	320	240	
airattck			Air Attack (set 1)	1996	Shooter / Flying Vertical	2	2	2	2	joy8way	56	R	V			256	224	
airattcka		airattck	Air Attack (set 2)	1996	Shooter / Flying Vertical	2	2	2	2	joy8way	56	R	V			256	224	
airbustj	airbustr		Air Buster: Trouble Specialty Raid Unit (Japan)	1990	Shooter / Flying Horizontal			2			60	R	H	4	3	256	224	
airbustr			Air Buster: Trouble Specialty Raid Unit (World)	1990	Shooter / Flying Horizontal	2	2	2	2	joy8way	60	R	H			256	224	
airbustrb		airbustr	Air Buster: Trouble Specialty Raid Unit (bootleg)	1990	Shooter / Flying Horizontal	2	2	2	2	joy8way	60	R	H			256	224	
airbustrj		airbustr	Air Buster: Trouble Specialty Raid Unit (Japan)	1990	Shooter / Flying Horizontal	2	2	2	2	joy8way	60	R	H			256	224	
airco22b			Air Combat 22 (Rev. ACS1 Ver.B, Japan)	1995	Shooter / Flying (chase view)	1	5	1	5	pedal	60	R	H			640	480	
aircomb			Air Combat (AC2, US)	1992	Shooter / Flying (chase view)	2	6	1		stick	60.000000	R	H			496	480	
aircombj	aircomb		Air Combat (AC1, Japan)	1992	Shooter / Flying (chase view)	2	6	1	6	stick	60	R	H			496	480	
aircombu		aircombj	Air Combat (US)	1992	Shooter / Flying 1st Person			2	6		60	R	H			496	480	
airduel			Air Duel (World, M82-A-A + M82-B-A)	1990	Shooter / Flying Vertical	2	4	2	4	joy8way	55.017606	R	V			384	256	
