game.rom	game.name	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
5acespkr	5-Aces Poker	<unknown>	198?					1	3	1>	joy8way		60.000000	H			480	240	R	
5clown	Five Clown (English, set 1)	IGS	1993	Casino / Cards				1	4	1	joy8way		60	H			256	256	R	
5clowna	Five Clown (English, set 2)	IGS	1993	Casino / Cards	5clown	5clown		1	4	1	joy8way		60	H			256	256	R	
5clownsp	Five Clown (Spanish hack)	IGS	1993	Casino / Cards	5clown	5clown		1	4	1	joy8way		60	H			256	256	R	
600	600	Konami	1981	Maze / Collect	turtles	turtles		2	1	2	joy4way		60.606061	V			768	224	R	
64streej	64th. Street - A Detective Story (Japan)		1991	Fighter / 2.5D			64street			2			60	H	4	3	256	224	R	
64street	64th. Street - A Detective Story (World)	Jaleco	1991	Fighter / 2.5D				2	2	2	joy8way		60	H			256	224	R	
64streetj	64th. Street - A Detective Story (Japan, set 1)	Jaleco	1991	Fighter / 2.5D	64street	64street		2	2	2	joy8way		60	H			256	224	R	
64streetja	64th. Street - A Detective Story (Japan, set 2)	Jaleco	1991	Fighter / 2.5D		64street	64street			2				H	4	3	256	224	R	
720	720 Degrees (rev 4)	Atari Games	1986	Sports / Skateboarding				3	2	1	stick		60.096154	H			512	384	R	
720g	720 Degrees (German, rev 2)	Atari Games	1986	Sports / Skateboarding	720	720		3	2	1	stick		60.096154	H			512	384	R	
720gr1	720 Degrees (German, rev 1)	Atari Games	1986	Sports / Skateboarding	720	720		3	2	1	stick		60.096154	H			512	384	R	
720r1	720 Degrees (rev 1)	Atari Games	1986	Sports / Skateboarding	720	720		3	2	1	stick		60.096154	H			512	384	R	
720r2	720 Degrees (rev 2)	Atari Games	1986	Sports / Skateboarding	720	720		3	2	1	stick		60.096154	H			512	384	R	
720r3	720 Degrees (rev 3)	Atari Games	1986	Sports / Skateboarding	720	720		3	2	1	stick		60.096154	H			512	384	R	
7jigen	7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)	Dynax	1990	Tabletop / Mahjong				1	3	2	joy8way		60	H			508	240	R	
7mezzo	7 e Mezzo	<unknown>	198?	Tabletop / Cards				2	7	1	dial		60	H			256	232	R	
7ordi	7 Ordi (Korea)	Yun Sung	2002	Casino / Cards				1	6	1	joy8way		60	H			320	240	R	
7toitsu	Chi-Toitsu	Yuga	1988	Tabletop / Mahjong	mgakuen	mgakuen		1	9	2	trackball		60	H			384	240	R	
800fath	800 Fathoms	Amenip (US Billiards Inc. license)	1981	Shooter / Misc. Horizontal	mariner	mariner		2	2	2	joy8way		60.606061	V			256	224	R	
86lions	86 Lions	Aristocrat	1985	Slot Machine / Video Slot				4	6	1	joy8way		60	H			304	216	R	
88games	'88 Games	Konami	1988	Sports / Track & Field				2	3	4	joy8way		60	H			320	224	R	
8ball	Video Eight Ball	Century Electronics	1982	Sports / Pool				2	1	2	joy8way		60	V			240	248	R	
8ball1	Video Eight Ball (Rev.1)	Century Electronics	1982	Sports / Pool	8ball	8ball		2	1	2	joy8way		60	V			240	248	R	
8ballact	Eight Ball Action (DK conversion)	Seatongrove Ltd (Magic Electronics USA license)	1984	Sports / Pool				1	1	2	joy8way		60.606061	V			256	224	R	
8ballact2	Eight Ball Action (DKJr conversion)	Seatongrove Ltd (Magic Electronics USA license)	1984	Sports / Pool	8ballact	8ballact		1	1	2	joy8way		60.606061	V			256	224	R	
8ballat2	Eight Ball Action (DKJr conversion)		1984	Sports / Pool			8ballact			2			60	V	3	4	256	224	R	
8bpm	Eight Ball Action (Pac-Man conversion)	Seatongrove Ltd (Magic Electronics USA license)	1985	Sports / Pool	8ballact	8ballact		2	2	2	joy4way		60.606061	V			256	224	R	
98best44	Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07)	SNK	1998	Misc. / Print Club				2	4	1	joy8way		59.185606	H			320	224	R	
99lstwar	'99: The Last War (set 1)	Crux / Proma	1985	Shooter / Gallery	sonofphx	repulse	repulse	2	2	2	joy8way		60	V			288	224	R	
99lstwara	'99: The Last War (set 2)	Crux / Proma	1985	Shooter / Gallery	sonofphx	repulse	repulse	2	2	2	joy8way		60	V			288	224	R	
99lstwark	'99: The Last War (Kyugo)	Crux / Kyugo	1985	Shooter / Gallery	sonofphx	repulse	repulse	2	2	2	joy8way		60	V			288	224	R	
99lstwra	'99: The Last War (alternate)		1985	Shooter / Gallery			sonofphx			2			60	V	3	4	288	224	R	
9ballsh2	9-Ball Shootout (set 2)		1993	Sports / Pool			9ballsht			2			60	H	4	3	320	240	R	
9ballsh3	9-Ball Shootout (set 3)		1993	Sports / Pool			9ballsht			2			60	H	4	3	320	240	R	
9ballsht	9-Ball Shootout (set 1)	E-Scape EnterMedia (Bundra license)	1993	Sports / Pool				2	3	2	joy8way		60.012477	H			320	240	R	
9ballsht2	9-Ball Shootout (set 2)	E-Scape EnterMedia (Bundra license)	1993	Sports / Pool	9ballsht	9ballsht		2	3	2	joy8way		60.012477	H			320	240	R	
9ballsht3	9-Ball Shootout (set 3)	E-Scape EnterMedia (Bundra license)	1993	Sports / Pool	9ballsht	9ballsht		2	3	2	joy8way		60.012477	H			320	240	R	
9ballshtc	9-Ball Shootout Championship	E-Scape EnterMedia (Bundra license)	1993	Sports / Pool	9ballsht	9ballsht		2	3	2	joy8way		60.012477	H			320	240	R	
a51mxr3k	Area 51 / Maximum Force Duo (R3000, 2/10/98)	Atari Games	1998	Shooter / Gun	area51mx	area51mx		4	1	2	lightgun		59.922743	H			360	240	R	
a51site4	Area 51: Site 4 (HD Rev 2.01, September 7, 1998)	Atari Games	1998	Shooter / Gun				4	9	4	joy8way		60	H			640	240	R	
aafb	All American Football (rev E)	Leland Corp.	1989	Sports / Football				2	1	4	stick		60	V			320	240	R	
aafbb	All American Football (rev B)	Leland Corp.	1989	Sports / Football	aafb	aafb		2	1	4	stick		60	V			320	240	R	
aafbc	All American Football (rev C)	Leland Corp.	1989	Sports / Football	aafb	aafb		2	1	4	stick		60	V			320	240	R	
aafbd2p	All American Football (rev D, 2 Players)	Leland Corp.	1989	Sports / Football	aafb	aafb		2	1	2	stick		60	V			320	240	R	
abacus	Abacus (Ver 1.0)	<unknown>	2001	Casino / Misc.				1	8	1	joy8way		60.000000	H			512	256	R	
abaseb	Atari Baseball (set 1)	Atari	1979	Sports / Baseball				2	1	2	trackball		60	H			304	240	R	
abaseb2	Atari Baseball (set 2)	Atari	1979	Sports / Baseball	abaseb	abaseb		2	1	2	trackball		60	H			304	240	R	
abattle	Astro Battle (set 1)	bootleg? (Sidam)	1979	Shooter / Gallery	astrof	astrof		1	1	2	joy2way		56.308461	V			256	256	R	
abattle2	Astro Battle (set 2)	bootleg? (Sidam)	1979	Shooter / Gallery	astrof	astrof		1	1	2	joy2way		56.308461	V			256	256	R	
abcop	A.B. Cop (World) (FD1094 317-0169b)	Sega	1990	Driving / Motorbike				2	1	1	pedal		59.637405	H			320	224	R	
abcopd	A.B. Cop (World) (bootleg of FD1094 317-0169b set)	bootleg	1990	Driving / Motorbike		abcop	abcop			1				H	4	3	320	224	R	
abcopj	A.B. Cop (Japan) (FD1094 317-0169b)	Sega	1990	Driving / Motorbike		abcop	abcop			1				H	4	3	320	224	R	
abcopjd	A.B. Cop (Japan) (bootleg of FD1094 317-0169b set)	bootleg	1990	Driving / Motorbike		abcop	abcop			1				H	4	3	320	224	R	
