game.rom	game.name	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
m_bdrw15	Dr.Who The Timelord (set 16)		1994					5	6	1	lightgun									
m_bdrw16	Dr.Who The Timelord (set 17)		1994					5	6	1	lightgun									
m_bdrw17	Dr.Who The Timelord (set 18, not encrypted)		1994					5	6	1	lightgun									
m_bdrwh1	Dr.Who The Timelord (set 2, UK, Game Card 95-750-661)		1994					5	6	1	lightgun									
m_bdrwh2	Dr.Who The Timelord (set 3)		1994					5	6	1	lightgun									
m_bdrwh3	Dr.Who The Timelord (set 4)		1994					5	6	1	lightgun									
m_bdrwh4	Dr.Who The Timelord (set 5)		1994					5	6	1	lightgun									
m_bdrwh5	Dr.Who The Timelord (set 6)		1994					5	6	1	lightgun									
m_bdrwh6	Dr.Who The Timelord (set 7)		1994					5	6	1	lightgun									
m_bdrwh7	Dr.Who The Timelord (set 8)		1994					5	6	1	lightgun									
m_bdrwh8	Dr.Who The Timelord (set 9)		1994					5	6	1	lightgun									
m_bdrwh9	Dr.Who The Timelord (set 10)		1994					5	6	1	lightgun									
m_bdrwho	Dr.Who The Timelord (set 1, UK, Game Card 95-750-288)		1994					5	6	1	lightgun									
m_bfocus	Focus (Dutch, Game Card 95-750-347)		1995					4	6	1	lightgun									
mblkjack	Black Jack (Mirco)			Casino			hitme			4			60	H	4	3	320	190	R	
mbomberj	Muscle Bomber: The Body Explosion (Japan 930713)	Capcom	1993	Sports / Wrestling	slammast	slammast		4	3	4	joy8way		59.61	H			384	224	R	
mbombrd	Muscle Bomber Duo: Ultimate Team Battle (World 931206)	Capcom	1993	Sports / Wrestling				4	3	4	joy8way		59.61	H			384	224	R	
mbombrdj	Muscle Bomber Duo: Heat Up Warriors (Japan 931206)	Capcom	1993	Sports / Wrestling	mbombrd	mbombrd		4	3	4	joy8way		59.61	H			384	224	R	
m_brkfs1	The Big Breakfast (Set 2)		1994					5	8	1	lightgun									
m_brkfs2	The Big Breakfast (Set 3)		1994					5	8	1	lightgun									
m_brkfs3	The Big Breakfast (Set 4)		1994					5	8	1	lightgun									
m_brkfs4	The Big Breakfast (Set 5)		1994					5	8	1	lightgun									
m_brkfs5	The Big Breakfast (Set 6)		1994					5	8	1	lightgun									
m_brkfst	The Big Breakfast (Set 1 UK, Game Card 95-750-524)		1994					5	8	1	lightgun									
mbrush	Magic Brush (bootleg of Crush Roller)	bootleg	1981	Maze / Paint	crush	crush		2	1	2	joy4way		60.606061	V			288	224	R	
mcatadv	Magical Cat Adventure	Wintechno	1993	Platform / Shooter Scrolling				2	3	2	joy8way		60	H			320	224	R	
mcatadvj	Magical Cat Adventure (Japan)	Wintechno	1993	Platform / Shooter Scrolling	mcatadv	mcatadv		2	3	2	joy8way		60	H			320	224	R	
m_ccelbr	Club Celebration		198?					4	7	1	lightgun									
mchampdx	Multi Champ Deluxe (ver. 0106, 06/01/2000)	ESD	2000	MultiGame / Compilation				2	2	2	joy8way		60	H			320	240	R	
mchampdxa	Multi Champ Deluxe (ver. 1126, 26/11/1999)	ESD	1999	MultiGame / Compilation	mchampdx	mchampdx		2	2	2	joy8way		60	H			320	240	R	
mchampdxb	Multi Champ Deluxe (ver. 1114, 14/11/1999)	ESD	1999			mchampdx		2	2	2	joy8way		60.000000	H			320	240	R	
mcitylov	City Love [BET] (Japan 860904)	Nichibutsu	1986		citylove	citylove		2	7	2	joy8way		60	H			512	224	R	
mclass	Magic Class (Ver 2.2)	<unknown>	200?					1	8	1>	joy8way		60.000000	H			512	256	R	
m_clattr	Club attraction (UK, Game Card 39-370-196)		1990					4	7	1	lightgun									
mcnpshnt	Mahjong Campus Hunting (Japan)	Dynax	1990	Tabletop / Mahjong				1	3	2	joy8way		60	H			508	240	R	
mcolors	Magic Colors (ver. 1.7a)	<unknown>	1999					5	5	1	joy8way		60	H			384	240	R	
mcombat	Missile Combat (Videotron bootleg, set 1)	bootleg (Videotron)	198?		missile	missile		3	3	2	trackball		61.035156	H			256	232	R	
mcombata	Missile Combat (Videotron bootleg, set 2)	bootleg (Videotron)	198?		missile	missile		3	3	2	trackball		61.035156	H			256	232	R	
mcontest	Miss Mahjong Contest (Japan)	Nichibutsu	1989	Tabletop / Mahjong				1	2	2	joy4way		60	H			640	240	R	
m_cpeno1	Club Public Enemy No.1 (UK, Game Card 95-750-846)		1996					8	6	1	lightgun		50	H			72	21	R	
mdhorse	Derby Quiz My Dream Horse (Japan, MDH1/VER.A2)	MOSS / Namco	1998	Quiz / Questions in Japanese				2	6	2	joy8way		60	H			640	480	R	
mdrawpkr	Draw Poker Joker's Wild	Meyco Games, Inc.	198?					1	5	1	joy2way		60	H			256	224	R	
mdrawpkra	Draw Poker Joker's Wild (02-11)	Meyco Games, Inc.	198?			mdrawpkr		1	5	1	joy2way		60.000000	H			256	224	R	
mdrink	Magic Drink (Ver 1.2)	<unknown>	2001					1	8	1	joy8way		60	H			512	256	R	
mechatt	Mechanized Attack (World)	SNK	1989	Shooter / Gun				4	2	2	lightgun		60	H			256	224	R	
mechattj	Mechanized Attack (Japan)	SNK	1989	Shooter / Gun		mechatt	mechatt			2				H	4	3	256	224	R	
mechattu	Mechanized Attack (US)	SNK	1989	Shooter / Gun	mechatt	mechatt		4	2	2	lightgun		60	H			256	224	R	
mechattu1	Mechanized Attack (US, Version 1, Single Player)	SNK	1989	Shooter / Gun		mechatt	mechatt			2				H	4	3	256	224	R	
medlanes	Meadows Lanes	Meadows Games, Inc.	1977	Sports / Bowling				1	2	1	joy2way		60	H			256	240	R	
megab	Mega Blast (World)		1989	Shooter / Flying Horizontal						2			60	H	4	3	320	224	R	
megabj	Mega Blast (Japan)		1989	Shooter / Flying Horizontal			megab			2			60	H	4	3	320	224	R	
megablst	Mega Blast (World)	Taito Corporation Japan	1989	Shooter / Flying Horizontal				2	2	2	joy8way		60	H			320	224	R	
megablstj	Mega Blast (Japan)	Taito Corporation	1989	Shooter / Flying Horizontal	megablst	megablst		2	2	2	joy8way		60	H			320	224	R	
megablstu	Mega Blast (US)	Taito America Corporation	1989	Shooter / Flying Horizontal	megablst	megablst		2	2	2	joy8way		60	H			320	224	R	
megadble	Mega Double Poker (Ver. 1.63 Espagnol)	Blitz Systems Inc.	1990					2	1	1>	joy8way		60.000000	H			512	256	R	
megadblj	Mega Double Poker Jackpot (Ver. 1.26)	Blitz Systems Inc.	1990					2	1	1>	joy8way		60.000000	H			512	256	R	
megadon	Megadon	Epos Corporation (Photar Industries license)	1982	Shooter / Field				1	2	1	joy2way		60	V			272	236	R	
megadpkr	Mega Double Poker (conversion kit, set 1)	Blitz System Inc.	1990					2	1	1>	joy8way		60.000000	H			256	256	R	
megadpkrb	Mega Double Poker (conversion kit, set 2)	Blitz System Inc.	1990			megadpkr		2	1	1>	joy8way		60.000000	H			256	256	R	
megaforc	Mega Force (World)	Tehkan (Video Ware license)	1984	Shooter / Flying Vertical	starforc	starforc		2	1	2	joy8way		60	V			256	224	R	
megaman	Mega Man: The Power Battle (CPS1, USA 951006)	Capcom	1995	Fighter / Versus Co-op				2	3	2	joy8way		59.61	H			384	224	R	
megaman2	Mega Man 2: The Power Fighters (USA 960708)	Capcom	1996	Fighter / Versus Co-op				2	3	2	joy8way		59.629403	H			384	224	R	
megaman2a	Mega Man 2: The Power Fighters (Asia 960708)	Capcom	1996	Fighter / Versus Co-op	megaman2	megaman2		2	3	2	joy8way		59.629403	H			384	224	R	
megaman2h	Mega Man 2: The Power Fighters (Hispanic 960712)	Capcom	1996	Fighter / Versus Co-op	megaman2	megaman2		2	3	2	joy8way		59.629403	H			384	224	R	
megamana	Mega Man: The Power Battle (CPS1, Asia 951006)	Capcom	1995	Fighter / Versus Co-op		megaman	megaman	2	3	2	joy8way		59.610000	H	4	3	384	224	R	
megamn2a	Mega Man 2: The Power Fighters (Asia 960708)		1996	Fighter / Versus Co-op			megaman2			2			59.633331	H	4	3	384	224	R	
megamn2d	Mega Man 2: The Power Fighters (USA 960708 Phoenix Edition) (bootleg)	bootleg	1996	Fighter / Versus Co-op	megaman2	megaman2		2	3	2	joy8way		59.629403	H			384	224	R	
megaplay	Mega Play BIOS	Sega	1993	System / BIOS				2	4	2	joy8way		60.000000	H			256	224	R	
megat2	Pit Boss Megatouch II (9255-10-01 ROE, Standard version)	Merit	1994					1	1	1	lightgun		60.000000	H			544	480	R	
megat2ca	Pit Boss Megatouch II (9255-10-06 ROG, California version)	Merit	1994			megat2		1	1	1	lightgun		60.000000	H			544	480	R	
megat3	Megatouch III (9255-20-01 RON, Standard version)	Merit	1996					1	1	1	lightgun		60	H			544	480	R	
megat3a	Megatouch III (9255-20-01 ROF, Standard version)	Merit	1995		megat3	megat3		1	1	1	lightgun		60	H			544	480	R	
megat3ca	Megatouch III (9255-20-06 RON, California version)	Merit	1996		megat3	megat3		1	1	1	lightgun		60	H			544	480	R	
megat3cb	Megatouch III (9255-20-06 ROD, California version)		1995					1	1	1	lightgun		60.000000	H			544	480	R	
megat3nj	Megatouch III (9255-20-07 ROG, New Jersey version)	Merit	1995		megat3	megat3		1	1	1	lightgun		60	H			544	480	R	
megat3te	Megatouch III Tournament Edition (9255-30-01 ROE, Standard version)	Merit	1996		megat3	megat3		1	1	1	lightgun		60	H			544	480	R	
megat4	Megatouch IV (9255-40-01 ROE, Standard version)	Merit	1996					1	1	1	lightgun		60	H			544	480	R	
megat4a	Megatouch IV (9255-40-01 ROD, Standard version)	Merit	1996		megat4	megat4		1	1	1	lightgun		60	H			544	480	R	
megat4b	Megatouch IV (9255-40-01 ROB, Standard version)	Merit	1996			megat4		1	1	1	lightgun		60.000000	H			544	480	R	
megat4s	Super Megatouch IV (9255-41-01 ROG, Standard version)	Merit	1996			megat4		1	1	1	lightgun		60.000000	H			544	480	R	
megat4sn	Super Megatouch IV (9255-41-07 ROG, New Jersey version)		1996		megat4			1	1	1	lightgun		60	H			544	480	R	
megat4st	Super Megatouch IV Tournament Edition (9255-51-01 ROB, Standard version)	Merit	1996		megat4	megat4		1	1	1	lightgun		60	H			544	480	R	
megat4stg	Super Megatouch IV Turnier Version (9255-51-50 ROA, Bi-Lingual GER/ENG version)	Merit	1996			megat4		1	1	1	lightgun		60.000000	H			544	480	R	
megat4te	Megatouch IV Tournament Edition (9255-50-01 ROD, Standard version)	Merit	1996		megat4	megat4		1	1	1	lightgun		60	H			544	480	R	
megat4tea	Megatouch IV Tournament Edition (9255-50-01 ROA, Standard version)	Merit	1996			megat4		1	1	1	lightgun		60.000000	H			544	480	R	
megat5	Megatouch 5 (9255-60-01 ROI, Standard version)	Merit	1997					1	1	1	lightgun		60	H			544	480	R	
megat5a	Megatouch 5 (9255-60-01 ROC, Standard version)	Merit	1997		megat5	megat5		1	1	1	lightgun		60	H			544	480	R	
megat5nj	Megatouch 5 (9255-60-07 RON, New Jersey version)	Merit	1998		megat5	megat5		1	1	1	lightgun		60	H			544	480	R	
megat5tg	Megatouch 5 Turnier Version (9255-70-50 ROD, Bi-Lingual GER/ENG version)	Merit	1998			megat5		1	1	1	lightgun		60.000000	H			544	480	R	
megat6	Megatouch 6 (9255-80-01 ROA, Standard version)	Merit	1998					1	1	1	lightgun		60	H			544	480	R	
megatack	Megatack (set 1)	Game Plan (Centuri license)	1980	Shooter / Gallery				3	1	2	joy2way		59.196429	H			256	256	R	
megatech	Mega-Tech	Sega	1989	System / BIOS				4	4	2	joy8way		60.000000	H			256	224	R	
megaznik	Mega Zone (Interlogic + Kosuka)		1983	Shooter / Driving Vertical			megazone			2			60	V	3	4	288	224	R	
megazone	Mega Zone (program code L)	Konami	1983	Shooter / Driving Vertical				2	1	2	joy8way		60	V			288	224	R	
megazonea	Mega Zone (unknown program code 1)	Konami	1983	Shooter / Driving Vertical	megazone	megazone		2	1	2	joy8way		60	V			288	224	R	
megazoneb	Mega Zone (unknown program code 2)	Konami (Kosuka license)	1983	Shooter / Driving Vertical	megazone	megazone		2	1	2	joy8way		60	V			288	224	R	
megazonec	Mega Zone (Kosuka set 2)	Konami (Kosuka license)	1983	Shooter / Driving Vertical	megazone	megazone		2	1	2	joy8way		60	V			288	224	R	
megazonei	Mega Zone (program code I)	Konami (Interlogic license)	1983	Shooter / Driving Vertical	megazone	megazone		2	1	2	joy8way		60	V			288	224	R	
meijinsn	Meijinsen	SNK	1986	Tabletop / Shougi				2	2	2	joy8way		60	H			232	224	R	
meikyuh	Meikyuu Hunter G (Japan, set 1)	Data East Corporation	1987	Shooter / Walking	ghostb	ghostb		3	2	2	joy8way		58	H			256	240	R	
meikyuha	Meikyuu Hunter G (Japan, set 2)	Data East Corporation	1987	Shooter / Walking	ghostb	ghostb		3	2	2	joy8way		58	H			256	240	R	
meltyb	Melty Blood Act Cadenza Ver B (GDL-0039)	Ecole Software	2006		naomigd	naomigd		2	6	2	joy8way		60	H			640	480	R	
meltyba	Melty Blood Act Cadenza Ver B (Rev A) (GDL-0039A)		2006		meltyb			2	6	2	joy8way		60	H			640	480	R	
meltybld	Melty Blood Act Cadenza Ver A (Rev C) (GDL-0028C)	Ecole Software	2005		naomigd	naomigd		2	6	2	joy8way		60	H			640	480	R	
meosism	Meosis Magic (Japan)	Sammy	1996?	Slot Machine / Video Slot				2	5	1	joy2way		60	H			338	236	R	
mercenario	Mercenario (Commando bootleg)		1985	Shooter / Walking			commando			2				V	3	4	256	224	R	
mercs	Mercs (World 900302)	Capcom	1990	Shooter / Walking				3	2	3	joy8way		59.61	V			384	224	R	
mercsj	Senjou no Ookami II (Japan 900302)	Capcom	1990	Shooter / Walking	mercs	mercs		3	2	3	joy8way		59.61	V			384	224	R	
mercsu	Mercs (USA 900608)	Capcom	1990	Shooter / Walking	mercs	mercs		3	2	3	joy8way		59.61	V			384	224	R	
mercsua	Mercs (USA 900608)		1990	Shooter / Walking	mercs		mercs			3			59.61	V			384	224	R	
mercsur1	Mercs (USA 900302)	Capcom	1990	Shooter / Walking		mercs	mercs	3	2	3	joy8way		59.610000	V	3	4	384	224	R	
merlinmm	Merlins Money Maze	Zilec-Zenitone	1986	Maze / Escape				4	2	1	joy4way		60	V			256	224	R	
mermaid	Mermaid	Sanritsu / Rock-Ola	1982	Sports / Misc.				2	1	2	joy8way		60	H			256	224	R	
metafox	Meta Fox	Seta	1989	Shooter / Flying Vertical				2	2	2	joy8way		60	V			384	224	R	
metalb	Metal Black (World)	Taito Corporation Japan	1991	Shooter / Flying Horizontal				2	3	2	joy8way		60	H			320	224	R	
metalbj	Metal Black (Japan)	Taito Corporation	1991	Shooter / Flying Horizontal	metalb	metalb		2	3	2	joy8way		60	H			320	224	R	
metalmx	Metal Maniax (prototype)	Atari Games	1994					4	3	1	joy8way		60	H			512	384	R	
metamrph	Metamorphic Force (ver EAA)	Konami	1993	Fighter / 2.5D				2	3	4	joy8way		59.185606	H			288	224	R	
metamrpha	Metamorphic Force (ver AAA)		1993	Fighter / 2.5D			metamrph			4				H	4	3	288	224	R	
metamrphe	Metamorphic Force (ver EAA - alternate)		1993	Fighter / 2.5D			metamrph			4				H	4	3	288	224	R	
metamrphj	Metamorphic Force (ver JAA)	Konami	1993	Fighter / 2.5D	metamrph	metamrph		2	3	4	joy8way		59.185606	H			288	224	R	
metamrphu	Metamorphic Force (ver UAA)	Konami	1993	Fighter / 2.5D	metamrph	metamrph		2	3	4	joy8way		59.185606	H			288	224	R	
metamrpj	Metamorphic Force (ver JAA)		1993	Fighter / 2.5D			metamrph			4			60	H	4	3	288	224	R	
meteor	Meteoroids	Venture Line	1981	Shooter / Field	spcforce	spcforce		2	2	1	joy2way		60	V			256	224	R	
meteorho	Meteor	bootleg (Hoei)	1980			asteroid		3	5	1	pedal		60.000000	H					V	
meteorts	Meteorites	bootleg (VGG)	1979			asteroid		3	5	1	pedal		60.000000	H					V	
metlclsh	Metal Clash (Japan)	Data East	1985	Fighter / Misc.				2	2	2	joy8way		58	H			256	232	R	
metlfrzr	Metal Freezer (Japan)		1989	Shooter / Flying Vertical						2				V	3	4	256	224	R	
metlhawk	Metal Hawk (Rev C)	Namco	1988	Shooter / Flying				2	2	2	stick		60.606061	V			288	224	R	
metlhawkj	Metal Hawk (Japan)	Namco	1988		metlhawk	metlhawk		2	2	2	stick		60.606061	V			288	224	R	
metlsavr	Metal Saver	First Amusement	1994	Platform / Run Jump				2	3	2	joy8way		60	H			320	240	R	
metmqstr	Metamoqester (International)	Banpresto / Pandorabox	1995	Fighter / Versus Co-op				2	4	2	joy8way		57.550645	H			384	240	R	
metrocra	Metro-Cross (set 2)		1985	Platform / Run Jump Scrolling			metrocrs			2			60.60606	H	4	3	288	224	R	
metrocrs	Metro-Cross (set 1)	Namco	1985	Platform / Run, Jump & Scrolling				2	1	2	joy8way		60.60606	H			288	224	R	
metrocrsa	Metro-Cross (set 2)	Namco	1985	Platform / Run, Jump & Scrolling	metrocrs	metrocrs		2	1	2	joy8way		60.60606	H			288	224	R	
mexico86	Mexico 86 (bootleg of Kick and Run) (set 1)	bootleg	1986	Sports / Soccer	kicknrun	kicknrun		4	2	4	joy8way		60	H			256	224	R	
mf_achas	Astro Chase (Max-A-Flex)	Exidy / First Star Software	1982		maxaflex	maxaflex		1	2	4	keyboard		59.923329	H			336	224	R	
mf_bdash	Boulder Dash (Max-A-Flex)	Exidy / First Star Software	1984		maxaflex	maxaflex		1	2	4	keyboard		59.923329	H			336	224	R	
mf_brist	Bristles (Max-A-Flex)	Exidy / First Star Software	1983		maxaflex	maxaflex		1	2	4	keyboard		59.923329	H			336	224	R	
mf_flip	Flip & Flop (Max-A-Flex)	Exidy / First Star Software	1983		maxaflex	maxaflex		1	2	4	keyboard		59.923329	H			336	224	R	
mfightc	Mahjong Fight Club (ver JAD)	Konami	2002		kviper	kviper		1	9	0	trackball		60	H			800	600	R	
mfightcc	Mahjong Fight Club (ver JAC)	Konami	2002		mfightc	mfightc		1	9	0	trackball		60	H			800	600	R	
mfish_11	Multi Fish (031124)	Igrosoft	2002		mfish_3	mfish_13		8	1	1	lightgun		60	H			640	480	R	
mfish_12	Multi Fish (040308)	Igrosoft	2002		mfish_3	mfish_13		8	1	1	lightgun		60	H			640	480	R	
mfish_12a	Multi Fish (040308, banking address hack)	bootleg	2002		mfish_3	mfish_13		8	1	1	lightgun		60	H			640	480	R	
mfish_13	Multi Fish (040316)	Igrosoft	2002					8	1	1	lightgun		60.000000	H			640	480	R	
mfish_3	Multi Fish (021124)	Igrosoft	2002			mfish_13		8	1	1	lightgun		60	H			640	480	R	
mfish_3a	Multi Fish (021124, banking address hack)	bootleg	2002		mfish_3	mfish_13		8	1	1	lightgun		60	H			640	480	R	
mfish_6	Multi Fish (030124)	Igrosoft	2002		mfish_3	mfish_13		8	1	1	lightgun		60	H			640	480	R	
mfjump	Monster Farm Jump (JAPAN)	Tecmo	2001		tps	tps		4	3	4	joy8way		60	H			640	480	R	
mfunclub	Mahjong Fun Club - Idol Saizensen (Japan)	Video System Co.	1989	Tabletop / Mahjong				1	2	1	joy2way		60	H			352	240	R	
mgakuen	Mahjong Gakuen	Yuga	1988	Tabletop / Mahjong				1	9	2	trackball		60	H			384	240	R	
mgakuen2	Mahjong Gakuen 2 Gakuen-chou no Fukushuu	Face	1989	Tabletop / Mahjong				1	9	2	trackball		60	H			384	240	R	
mgcldate	Magical Date / Magical Date - dokidoki kokuhaku daisakusen (Ver 2.02J)	Taito	1996	Multiplay / Mini-Games	mgcldtex	mgcldtex		4	3	4	joy8way		60	H			640	480	R	
mgcldtea	Magical Date (JAPAN) set 2		1996	Not Classified			mgcldate						60	H	4	3	640	480	R	
mgcldtex	Magical Date EX / Magical Date - sotsugyou kokuhaku daisakusen (Ver 2.01J)	Taito	1997		taitofx1	taitofx1		4	3	4	joy8way		60	H			640	480	R	
mgcrystj	Magical Crystals (Japan, 92/01/13)		1991	Maze / Shooter Large			mgcrystl			2			60	H	4	3	256	224	R	
mgcrystl	Magical Crystals (World, 92/01/10)	Kaneko	1991	Maze / Shooter Large				2	2	2	joy8way		60	H			256	224	R	
mgcrystlj	Magical Crystals (Japan, 92/01/13)	Kaneko (Atlus license)	1991	Maze / Shooter Large	mgcrystl	mgcrystl		2	2	2	joy8way		60	H			256	224	R	
mgcrystlo	Magical Crystals (World, 91/12/10)	Kaneko	1991	Maze / Shooter Large	mgcrystl	mgcrystl		2	2	2	joy8way		60	H			256	224	R	
mgcs	Mahjong Man Guan Cai Shen (V103CS)	IGS	1998					1	3	1	joy8way		60	H			512	240	R	
mgdh	Mahjong Man Guan Da Heng (Taiwan, V123T1)	IGS	1997					1	3	1	joy8way		60	H			512	240	R	
mgfx	Man Guan Fu Xing	IGS	2000					3	5	0	joy8way		60	H			512	256	R	
mgion	Gionbana [BET] (Japan 890207)	Nichibutsu	1989					1	2	2	joy4way		60	H			512	240	R	
m_gmball	Gamball		198?					4	7	1	lightgun									
mgmen89	Mahjong G-MEN'89 (Japan 890425)	Nichibutsu	1989	Tabletop / Mahjong				1	2	2	joy4way		60	H			512	240	R	
mgnumber	Magic Number	CD Express	1995		cd32	cubo		1	5	1	joy8way		50	H			703	272	R	
mgolf	Atari Mini Golf (prototype)	Atari	1978					2	2	1	dial		60	V			256	224	R	
mgprem11	Magic Premium (v1.1)	CD Express	1996		cd32	cubo		1	10	1	joy2way		50	H			703	272	R	
mhavoc	Major Havoc (rev 3)	Atari	1983	Shooter / Misc.				2	2	2	dial		50	H	4	3			V	
mhavoc2	Major Havoc (rev 2)	Atari	1983	Shooter / Misc.		mhavoc	mhavoc	2	2	2	dial		50	H	4	3			V	
mhavocp	Major Havoc (prototype)	Atari	1983	Shooter / Misc.		mhavoc	mhavoc	2	2	2	dial		50	H	4	3			V	
mhavocrv	Major Havoc - Return to Vax	Atari / JMA	2006	Shooter / Misc.		mhavoc	mhavoc	2	2	2	dial		50	H	4	3			V	
mhgaiden	Mahjong Hourouki Gaiden (Japan)	Home Data	1987	Tabletop / Mahjong				1	10	1	dial		59	H			432	224	R	
mhhonban	Mahjong Housoukyoku Honbanchuu (Japan)	Nichibutsu?	199?					2	2	2	joy4way		60	H			640	240	R	
m_honmon	Honey Money		199?					4	7	0	lightgun		60	H			320	224	R	
mia	M.I.A. - Missing in Action (version T)	Konami	1989	Platform / Fighter Scrolling				2	3	2	joy8way		60	H			304	224	R	
mia2	M.I.A. - Missing in Action (version S)	Konami	1989	Platform / Fighter Scrolling	mia	mia		2	3	2	joy8way		60	H			304	224	R	
miaj	M.I.A. - Missing in Action (version R) (Japan)	Konami	1989	Platform / Fighter Scrolling	mia	mia		2	3	2	joy8way		60.606061	H			304	224	R	
micrombc	Microman Battle Charge (J 990326 V1.000)	Sega	1999		stvbios	stvbios		2	6	2	joy8way		59.828244	H			320	224	R	
midnrun	Midnight Run (Euro v1.11)	Konami	1995					1	6	1	pedal		60	H			512	384	R	
midres	Midnight Resistance (World)	Data East Corporation	1989	Platform / Shooter Scrolling				2	3	2	joy8way		57.41	H			256	240	R	
midresb	Midnight Resistance (bootleg with 68705)	bootleg	1989		midres	midres		2	5	2	joy8way		57.41	H			256	240	R	
midresj	Midnight Resistance (Japan)	Data East Corporation	1989	Platform / Shooter Scrolling	midres	midres		2	3	2	joy8way		57.41	H			256	240	R	
midresu	Midnight Resistance (US)	Data East USA	1989	Platform / Shooter Scrolling	midres	midres		2	3	2	joy8way		57.41	H			256	240	R	
miexchng	Money Puzzle Exchanger / Money Idol Exchanger	Face	1997	Puzzle / Toss	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
mightguy	Mighty Guy	Nichibutsu	1986	Fighter / Vertical				2	2	2	joy8way		60	V			256	224	R	
mightybj	Vs. Mighty Bomb Jack (Japan)	Tecmo	1986	Platform / Run Jump Scrolling				2	2	2	joy8way		60	H			256	240	R	
mikie	Mikie	Konami	1984	Maze / Fighter				2	2	2	joy4way		60.59	V			256	224	R	
mikiehs	Mikie (High School Graffiti)	Konami	1984	Maze / Fighter	mikie	mikie		2	2	2	joy4way		60.59	V			256	224	R	
mikiej	Shinnyuushain Tooru-kun	Konami	1984	Maze / Fighter	mikie	mikie		2	2	2	joy4way		60.59	V			256	224	R	
mil4000	Millennium Nuovo 4000 (Version 2.0)	Sure Milano	2000					2	5	1	joy8way		60	H			320	240	R	
mil4000a	Millennium Nuovo 4000 (Version 1.8)	Sure Milano	2000		mil4000	mil4000		2	5	1	joy8way		60	H			320	240	R	
mil4000b	Millennium Nuovo 4000 (Version 1.5)	Sure Milano	2000		mil4000	mil4000		2	5	1	joy8way		60	H			320	240	R	
mil4000c	Millennium Nuovo 4000 (Version 1.6)	Sure Milano	2000		mil4000	mil4000		2	5	1	joy8way		60	H			320	240	R	
millipdd	Millipede Dux (hack)	hack (Two-Bit Score)	1982		milliped	milliped		2	1	2	trackball		60	V			256	240	R	
milliped	Millipede	Atari	1982	Shooter / Gallery				2	1	2	trackball		60	V			256	240	R	
millpac	Millpac (bootleg of Centipede)	bootleg? (Valadon Automation)	1980	Shooter / Gallery	centiped	centiped		2	1	2	trackball		60	V			256	240	R	
millsun	Millennium Sun	<unknown>	200?					1	8	1	joy8way		60	H			512	256	R	
mimonkey	Mighty Monkey	Universal Video Games	1982	Shooter / Flying Horizontal				2	2	2	joy8way		60.606061	V			256	224	R	
mimonsco	Mighty Monkey (bootleg on Super Cobra hardware)	bootleg	1982	Shooter / Flying Horizontal	mimonkey	mimonkey		2	2	2	joy8way		60.606061	V			256	224	R	
mimonscr	Mighty Monkey (bootleg on Scramble hardware)	bootleg	1982	Shooter / Flying Horizontal	mimonkey	mimonkey		2	2	2	joy8way		60.606061	V			256	224	R	
mimonscra	Mighty Monkey (Kaina Games, bootleg on Scramble hardware)	bootleg (Kaina Games)	1982	Shooter / Flying Horizontal		mimonkey	mimonkey			2				V	3	4	256	224	R	
minasan	Minasan no Okagesamadesu! Dai Sugoroku Taikai (MOM-001 ~ MOH-001)	Monolith Corp.	1990	Tabletop / Mahjong	neogeo	neogeo		2	4	1	joy8way		59.185606	H			320	224	R	
minefld	Minefield	Stern Electronics	1983	Shooter / Driving Horizontal				2	1	1	doublejoy8way		60.606061	V			256	224	R	
mineswpr	Minesweeper	Amutech	1977	Maze / Surround				1	1	2	joy4way		60	H			256	224	R	
mineswpr4	Minesweeper (4-Player)	Amutech	1977		mineswpr	mineswpr		1	1	4	joy4way		60	H			256	224	R	
minferno	Inferno (Meadows)	Meadows Games, Inc.	1978	Shooter / 3rd Person				1	1	2	joy8way		60	H			256	184	R	
miniboy7	Mini Boy 7	Bonanza Enterprises, Ltd	1983					2	4	0	joy8way		60	H			296	296	R	
miniboy7a	Mini Boy 7 (set 2)	Bonanza Enterprises, Ltd	1983			miniboy7		2	4	0>	joy8way		60.000000	H			296	296	R	
minigol2	Mini Golf (set 2)		1985	Sports / Golf			minigolf			1			60	H	4	3	256	240	R	
minigolf	Mini Golf (11/25/85)	Bally/Sente	1985	Sports / Golf				2	1	1	trackball		59.185606	H			256	240	R	
minigolf2	Mini Golf (set 2)	Bally/Sente	1985		minigolf	minigolf		2	1	1	trackball		59.185606	H			256	240	R	
minivadr	Mini Vaders	Taito Corporation	1990	Shooter / Gallery				1	1	1	joy2way		60	H			256	224	R	
mirage	Mirage Youjuu Mahjongden (Japan)	Mitchell	1994					2	2	1	lightgun		58	H			320	240	R	
mirax	Mirax (set 1)	Current Technologies	1985	Shooter / Flying (chase view)				2	1	2	joy8way		60	V			256	240	R	
miraxa	Mirax (set 2)	Current Technologies	1985	Shooter / Flying (chase view)	mirax	mirax		2	1	2	joy8way		60	V			256	240	R	
