zzyzzyxx2.rom	game.name	game.name.short	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	game.mature	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
savgbees	Savage Bees	Savage Bees	Capcom (Memetron license)	1985	Shooter / Flying Vertical	exedexes	exedexes	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
savquest	Savage Quest	Savage Quest	Interactive Light	1999	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2	1	0>	trackball		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	200	R
sb2003a	Super Bubble 2003 (Asia, Ver 1.0)	Super Bubble 2003	Limenko	2003	Platform / Run Jump	sb2003	sb2003	UNKNOWN	2	4	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	384	240	R
sb2003	Super Bubble 2003 (World, Ver 1.0)	Super Bubble 2003	Limenko	2003	Platform / Run Jump	UNKNOWN	UNKNOWN	UNKNOWN	2	4	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	384	240	R
sb2m600b	Superboard II Model 600 (Rev. B)	Superboard II Model 600	Ohio Scientific	1978	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	512	256	UNKNOWN
sbagmans	Super Bagman (Stern Electronics)	Super Bagman	Valadon Automation (Stern Electronics license)	1984	Platform / Run Jump	sbagman	sbagman	UNKNOWN	4	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
sbagman	Super Bagman	Super Bagman	Valadon Automation	1984	Platform / Run Jump	UNKNOWN	UNKNOWN	UNKNOWN	4	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
sbasebalj	Super Champion Baseball (Japan)	Super Champion Baseball	Alpha Denshi Co.	1989	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.191409	H	UNKNOWN	UNKNOWN	256	224	UNKNOWN
sbasebal	Super Champion Baseball (US)	Super Champion Baseball	Alpha Denshi Co. (SNK of America license)	1989	Sports / Baseball	UNKNOWN	UNKNOWN	UNKNOWN	1	3	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	256	224	R
sbasketb	Super Basketball (version I, encrypted)	Super Basketball	Konami	1984	Sports / Basketball	UNKNOWN	UNKNOWN	UNKNOWN	2	3	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
sbaskete	Super Basketball (version E, encrypted)	Super Basketball	Konami	1984	Sports / Basketball	sbasketb	sbasketb	UNKNOWN	2	3	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
sbasketg	Super Basketball (version G, encrypted)	Super Basketball	Konami	1984	Sports / Basketball	sbasketb	sbasketb	UNKNOWN	2	3	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
sbasketh	Super Basketball (version H, unprotected)	Super Basketball	Konami	1984	Sports / Basketball	sbasketb	sbasketb	UNKNOWN	2	3	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
